,epoca,loss_train,loss_test,acc_train,acc_test
0,1,1.5268878722190857,1.3609143088006566,42.791666666666664,50.879999999999995
1,2,1.0588217230637869,1.0031429429848988,61.854166666666664,64.41000000000001
2,3,0.8535021370649337,0.8119748438525404,69.7890625,71.50333333333333
3,4,0.7246716714898745,0.713172458558001,74.56770833333333,75.34333333333333
